post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,sku,stock,regular_price,sale_price,stock_status,product_url,product_page_url
"ADHESIVO LASHTITE DARK 22ml",adhesivo-lashtite-dark-3-5g-0-125oz,,50405,,,publish,,142,10000,,instock,,https://www.lacopro.cl/producto/adhesivo-lashtite-dark-3-5g-0-125oz/
"LIMA SUPERNAIL 100/100",lima-supernail-100-100,,51250,,,publish,,359,1830,,instock,,https://www.lacopro.cl/producto/lima-supernail-100-100/
"LIMA SUPERNAIL 180/180",lima-supernail-180-180,,51252,,,publish,,98,1800,,instock,,https://www.lacopro.cl/producto/lima-supernail-180-180/
"BLOCK MORADO",block-morado,,51254,,,publish,,,690,,instock,,https://www.lacopro.cl/producto/block-morado/
"BLOCK BRILLO/ FLASH SHINNER",block-brillo-flash-shinner,,51255,,,publish,,,2250,,instock,,https://www.lacopro.cl/producto/block-brillo-flash-shinner/
"LIMA DELGADA/ GARNET FILE 100/150",lima-delgada-garnet-file-100-150,,51258,"Lima porosidad 100/150 , delgada ideal para ángulos. Origen USA",,publish,,,690,,instock,,https://www.lacopro.cl/producto/lima-delgada-garnet-file-100-150/
"LIMA RECTA NEGRA 80/80",lima-recta-negra-80-80,,51260,,,publish,,,690,,instock,,https://www.lacopro.cl/producto/lima-recta-negra-80-80/
"LIMA RECTA NEGRA 80/100",lima-recta-negra-80-100,,51261,,,publish,,,690,,instock,,https://www.lacopro.cl/producto/lima-recta-negra-80-100/
"LIMA RECTA ZEBRA 80/100",lima-recta-zebra-80-100,,51262,,,publish,,,690,,instock,,https://www.lacopro.cl/producto/lima-recta-zebra-80-100/
"LIMA RECTA BLANCA 100/100",lima-recta-blanca-100-100,,51263,,,publish,,,690,,instock,,https://www.lacopro.cl/producto/lima-recta-blanca-100-100/
"LIMA RECTA BLANCA 100/80",lima-recta-blanca-100-80,,51264,,,publish,,,690,,instock,,https://www.lacopro.cl/producto/lima-recta-blanca-100-80/
"LIMA RECTA ROSADA 280/320",lima-recta-rosada-280-320,,51265,,,publish,,,690,,instock,,https://www.lacopro.cl/producto/lima-recta-rosada-280-320/
"LIMA X BLACK 80/80/ BLACK X 80/80",lima-x-black-80-80-black-x-80-80,,51267,,,publish,,,990,,instock,,https://www.lacopro.cl/producto/lima-x-black-80-80-black-x-80-80/
"LIMA X BLANCA 80/80/ WHITE X 80/80",lima-x-blanca-80-80-white-x-80-80,,51268,,,publish,,,990,,instock,,https://www.lacopro.cl/producto/lima-x-blanca-80-80-white-x-80-80/
